experiment,variant,image_id,file_name,seq_len,gt_seq,pred_seq,old_IDR_correct,IDR2_correct,IRA_exact_sequence
wo.CLIP2SAM,original,361,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/361.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 0, 14, 0, 0, 17, 16, 17]",5,2,0
wo.CLIP2SAM,original,362,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/362.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 0, 14, 15, 16, 17, 0]",5,0,0
wo.CLIP2SAM,original,363,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/363.png,12,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,364,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/364.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 0, 0, 15, 16, 17, 0]",4,0,0
wo.CLIP2SAM,original,365,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/365.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 0, 0, 15, 16, 17, 16, 17, 0]",5,0,0
wo.CLIP2SAM,original,366,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/366.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[10, 11, 12, 0, 14, 15, 16, 17]",7,7,0
wo.CLIP2SAM,original,367,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/367.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,368,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/368.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 14, 15, 16, 17, 17, 17]",5,2,0
wo.CLIP2SAM,original,369,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/369.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 13, 14, 15, 16, 17, 16, 17, 0]",7,0,0
wo.CLIP2SAM,original,370,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/370.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,371,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/371.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[12, 13, 14, 0, 16, 17, 17, 17]",7,1,0
wo.CLIP2SAM,original,372,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/372.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 15, 16, 17, 17]",6,4,0
wo.CLIP2SAM,original,373,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/373.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,374,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/374.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 0]",6,0,0
wo.CLIP2SAM,original,375,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/375.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",8,1,0
wo.CLIP2SAM,original,376,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/376.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 12, 13, 14, 15, 16, 17, 17, 17]",9,2,0
wo.CLIP2SAM,original,377,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/377.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 0]",6,0,0
wo.CLIP2SAM,original,378,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/378.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,379,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/379.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[3, 0, 13, 14, 15, 16, 17, 17, 17]",7,1,0
wo.CLIP2SAM,original,380,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/380.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[6, 0, 0, 12, 13, 0, 15, 16, 17, 17]",6,1,0
wo.CLIP2SAM,original,381,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/381.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,382,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/382.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 0]",8,0,0
wo.CLIP2SAM,original,383,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/383.png,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,384,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/384.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,385,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/385.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 13, 14, 0, 16, 17, 17]",5,1,0
wo.CLIP2SAM,original,386,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/386.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 14, 15, 16, 17, 17]",5,1,0
wo.CLIP2SAM,original,387,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/387.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,388,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/388.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,389,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/389.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[3, 0, 0, 0, 15, 16, 17, 16, 17, 0]",5,0,0
wo.CLIP2SAM,original,390,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/390.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 0, 15, 16, 17, 17]",5,2,0
wo.CLIP2SAM,original,391,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/391.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 0]",7,0,0
wo.CLIP2SAM,original,392,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/392.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",8,1,0
wo.CLIP2SAM,original,393,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/393.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 14, 15, 0, 0, 16, 17, 17]",4,1,0
wo.CLIP2SAM,original,394,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/394.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17, 17, 17, 17]",8,1,0
wo.CLIP2SAM,original,395,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/395.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 0, 0, 0, 0, 0]",2,2,0
wo.CLIP2SAM,original,396,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/396.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 15, 16, 17, 17]",4,1,0
wo.CLIP2SAM,original,397,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/397.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 0]",7,0,0
wo.CLIP2SAM,original,398,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/398.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 0, 0, 0, 0, 17]",2,2,0
wo.CLIP2SAM,original,399,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/399.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,400,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/400.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,401,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/401.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17, 0]",8,0,0
wo.CLIP2SAM,original,402,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/402.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 12, 13, 14, 0, 0, 0]",3,3,0
wo.CLIP2SAM,original,403,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/403.png,6,"[12, 13, 14, 15, 16, 17]","[12, 0, 14, 15, 16, 17]",5,5,0
wo.CLIP2SAM,original,404,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/404.png,6,"[12, 13, 14, 15, 16, 17]","[11, 0, 14, 15, 16, 17]",4,4,0
wo.CLIP2SAM,original,405,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/405.png,7,"[11, 12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,406,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/406.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 13, 14, 15, 0, 0, 0, 0]",4,1,0
wo.CLIP2SAM,original,407,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/407.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
wo.CLIP2SAM,original,408,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/408.png,7,"[11, 12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17, 17]",6,1,0
wo.CLIP2SAM,original,409,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/409.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 15, 16, 17, 17]",6,4,0
wo.CLIP2SAM,original,410,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/410.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 0]",7,0,0
wo.CLIP2SAM,original,411,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/411.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 13, 14, 15, 16, 17, 17]",5,1,0
wo.CLIP2SAM,original,412,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/412.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 14, 15, 16, 17, 17]",7,3,0
wo.CLIP2SAM,original,413,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/413.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 14, 0, 16, 17, 17]",6,3,0
wo.CLIP2SAM,original,414,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/414.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 0, 0, 0, 17, 0]",2,1,0
wo.CLIP2SAM,original,415,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/415.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 13, 14, 15, 0, 17, 17, 17, 0]",6,0,0
wo.CLIP2SAM,original,416,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/416.png,7,"[11, 12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17, 17]",6,1,0
wo.CLIP2SAM,original,417,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/417.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 0, 16, 17, 17]",5,4,0
wo.CLIP2SAM,original,418,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/418.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,419,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/419.png,6,"[12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17]",6,6,1
wo.CLIP2SAM,original,420,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/420.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 11, 12, 13, 14, 15, 16, 17, 0, 0]",8,0,0
wo.CLIP2SAM,original,421,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/421.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,422,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/422.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,423,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/423.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[8, 0, 0, 15, 16, 0, 16, 17, 17]",5,1,0
wo.CLIP2SAM,original,424,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/424.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,425,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/425.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,426,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/426.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,427,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/427.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,428,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/428.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,430,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/430.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 0, 0, 0, 15, 16, 17]",4,4,0
wo.CLIP2SAM,original,431,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/431.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 0, 0, 15, 16, 17]",5,5,0
wo.CLIP2SAM,original,432,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/432.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 0, 12, 16, 17, 16, 17, 17]",6,3,0
wo.CLIP2SAM,original,433,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/433.png,11,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[6, 0, 0, 0, 0, 13, 0, 0, 0, 17, 17]",3,1,0
wo.CLIP2SAM,original,434,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/434.png,6,"[12, 13, 14, 15, 16, 17]","[11, 12, 13, 15, 16, 17]",3,3,0
wo.CLIP2SAM,original,435,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/435.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 12, 13, 14, 15, 16, 17, 17, 17]",8,1,0
wo.CLIP2SAM,original,436,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/436.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,437,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/437.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,438,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/438.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,439,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/439.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,440,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/440.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,441,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/441.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,442,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/442.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,443,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/443.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 14, 15, 16, 17, 17]",7,3,0
wo.CLIP2SAM,original,444,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/444.png,11,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,445,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/445.png,11,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,446,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/446.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 0]",8,0,0
wo.CLIP2SAM,original,447,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/447.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 13, 14, 15, 16, 17, 17, 17]",8,2,0
wo.CLIP2SAM,original,449,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/449.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[8, 0, 0, 0, 12, 13, 0, 15, 16, 17]",6,6,0
wo.CLIP2SAM,original,450,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/450.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 0, 13, 0, 15, 16, 17, 0]",4,0,0
wo.CLIP2SAM,original,451,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/451.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 0, 0, 0, 16, 17, 17, 17]",3,1,0
wo.CLIP2SAM,original,452,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/452.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,453,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/453.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",7,1,0
wo.CLIP2SAM,original,454,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/454.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 0, 11, 12, 13, 14, 15, 16, 17]",8,8,0
wo.CLIP2SAM,original,455,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/455.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,456,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/456.png,7,"[11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17]",7,7,1
wo.CLIP2SAM,original,457,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/457.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[6, 0, 0, 0, 0, 0, 0, 0, 16, 0]",1,1,0
wo.CLIP2SAM,original,458,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/458.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",8,1,0
wo.CLIP2SAM,original,459,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/459.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 11, 12, 0, 0, 0, 16, 17, 17]",6,2,0
wo.CLIP2SAM,original,460,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/460.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[6, 0, 0, 0, 0, 0, 0, 16, 17, 17]",3,1,0
wo.CLIP2SAM,original,461,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/461.png,6,"[12, 13, 14, 15, 16, 17]","[12, 13, 14, 0, 0, 0]",3,3,0
wo.CLIP2SAM,original,462,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/462.png,12,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[4, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
wo.CLIP2SAM,original,463,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/463.png,10,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[9, 10, 11, 12, 13, 14, 15, 16, 17, 0]",8,0,0
wo.CLIP2SAM,original,464,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/464.png,8,"[10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17]",8,1,0
wo.CLIP2SAM,original,465,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/465.png,6,"[12, 13, 14, 15, 16, 17]","[6, 0, 0, 0, 0, 0]",0,0,0
wo.CLIP2SAM,original,466,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/466.png,9,"[9, 10, 11, 12, 13, 14, 15, 16, 17]","[11, 12, 13, 14, 15, 16, 17, 17, 17]",9,1,0
wo.CLIP2SAM,original,DR_100_s3_e15,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_100_s3_e15.jpg,13,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
wo.CLIP2SAM,original,DR_102_s1_e12,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_102_s1_e12.jpg,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,0
wo.CLIP2SAM,original,DR_108_s3_e12,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_108_s3_e12.jpg,10,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
wo.CLIP2SAM,original,DR_111_s4_e14,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_111_s4_e14.jpg,11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,0
wo.CLIP2SAM,original,DR_116_s4_e14,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_116_s4_e14.jpg,11,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0
wo.CLIP2SAM,original,DR_117_s1_e12,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_117_s1_e12.jpg,12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 0, 0, 0]",9,0,0
wo.CLIP2SAM,original,DR_124_s4_e13,/home/think/mnt/zpj2025/Vert_detect/vert_all/val/images/DR_124_s4_e13.jpg,10,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[2, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0
